metric,comparison,abs_diff,rel_%
f1,One − Zero,0.1492684931506849,28.91976198775259
f1,Few − Zero,0.32109360730593617,62.20971688715652
f1,Few − One,0.17182511415525126,25.82222801696336
jaccard,One − Zero,0.1629205479452055,45.29109502097022
jaccard,Few − Zero,0.41226940639269416,114.60882678500708
jaccard,Few − One,0.24934885844748866,47.70955284908002
label_triples,One − Zero,0.0,0.0
label_triples,Few − Zero,0.0,0.0
label_triples,Few − One,0.0,0.0
output_triples,One − Zero,2.0821917808219226,5.564368517388664
output_triples,Few − Zero,2.25570776255708,6.028065893837712
output_triples,Few − One,0.17351598173515725,0.43925557738989063
overlap_triples,One − Zero,6.031963470319635,31.325586910125686
overlap_triples,Few − Zero,12.4337899543379,64.57197059520988
overlap_triples,Few − One,6.401826484018265,25.315998555435176
precision,One − Zero,0.132886301369863,25.054884316774196
precision,Few − Zero,0.30394246575342465,57.30645852811885
precision,Few − One,0.17105616438356164,25.789935665086688
recall,One − Zero,0.163058904109589,32.29519938791788
recall,Few − Zero,0.3359611872146119,66.5399634993588
recall,Few − One,0.17290228310502287,25.88511470550638
