image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
63,26,26,19,0.7308,0.7308,0.7308,0.5758,25,25,16,0.64,0.64,0.64,0.4706,51,51,35,0.6863,0.6863,0.6863,0.5224
64,23,23,17,0.7391,0.7391,0.7391,0.5862,22,22,12,0.5455,0.5455,0.5455,0.375,45,45,29,0.6444,0.6444,0.6444,0.4754
65,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
66,21,21,20,0.9524,0.9524,0.9524,0.9091,19,19,12,0.6316,0.6316,0.6316,0.4615,40,40,32,0.8,0.8,0.8,0.6667
67,28,27,26,0.963,0.9286,0.9455,0.8966,26,26,15,0.5769,0.5769,0.5769,0.4054,54,53,41,0.7736,0.7593,0.7664,0.6212
68,26,26,26,1.0,1.0,1.0,1.0,24,24,14,0.5833,0.5833,0.5833,0.4118,50,50,40,0.8,0.8,0.8,0.6667
71,35,32,1,0.0312,0.0286,0.0299,0.0152,27,30,0,0.0,0.0,0,0.0,62,62,1,0.0161,0.0161,0.0161,0.0081
75,32,32,32,1.0,1.0,1.0,1.0,30,30,20,0.6667,0.6667,0.6667,0.5,62,62,52,0.8387,0.8387,0.8387,0.7222
76,18,18,14,0.7778,0.7778,0.7778,0.6364,15,15,6,0.4,0.4,0.4,0.25,33,33,20,0.6061,0.6061,0.6061,0.4348
78,24,24,20,0.8333,0.8333,0.8333,0.7143,22,22,14,0.6364,0.6364,0.6364,0.4667,46,46,34,0.7391,0.7391,0.7391,0.5862
80,23,23,22,0.9565,0.9565,0.9565,0.9167,21,21,14,0.6667,0.6667,0.6667,0.5,44,44,36,0.8182,0.8182,0.8182,0.6923
81,23,23,22,0.9565,0.9565,0.9565,0.9167,22,22,14,0.6364,0.6364,0.6364,0.4667,45,45,36,0.8,0.8,0.8,0.6667
86,17,17,17,1.0,1.0,1.0,1.0,16,16,10,0.625,0.625,0.625,0.4545,33,33,27,0.8182,0.8182,0.8182,0.6923
87,33,31,1,0.0323,0.0303,0.0312,0.0159,27,29,0,0.0,0.0,0,0.0,60,60,1,0.0167,0.0167,0.0167,0.0084
90,26,26,25,0.9615,0.9615,0.9615,0.9259,25,25,16,0.64,0.64,0.64,0.4706,51,51,41,0.8039,0.8039,0.8039,0.6721
93,14,14,14,1.0,1.0,1.0,1.0,13,13,8,0.6154,0.6154,0.6154,0.4444,27,27,22,0.8148,0.8148,0.8148,0.6875
