image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
63,26,26,14,0.5385,0.5385,0.5385,0.3684,25,25,16,0.64,0.64,0.64,0.4706,51,51,30,0.5882,0.5882,0.5882,0.4167
64,23,23,13,0.5652,0.5652,0.5652,0.3939,22,22,12,0.5455,0.5455,0.5455,0.375,45,45,25,0.5556,0.5556,0.5556,0.3846
65,14,10,9,0.9,0.6429,0.75,0.6,12,12,4,0.3333,0.3333,0.3333,0.2,26,22,13,0.5909,0.5,0.5417,0.3714
66,21,21,14,0.6667,0.6667,0.6667,0.5,19,19,12,0.6316,0.6316,0.6316,0.4615,40,40,26,0.65,0.65,0.65,0.4815
67,28,17,14,0.8235,0.5,0.6222,0.4516,26,28,8,0.2857,0.3077,0.2963,0.1739,54,45,22,0.4889,0.4074,0.4444,0.2857
68,26,22,18,0.8182,0.6923,0.75,0.6,24,24,7,0.2917,0.2917,0.2917,0.1707,50,46,25,0.5435,0.5,0.5208,0.3521
71,35,32,1,0.0312,0.0286,0.0299,0.0152,27,30,0,0.0,0.0,0,0.0,62,62,1,0.0161,0.0161,0.0161,0.0081
75,32,32,21,0.6562,0.6562,0.6562,0.4884,30,30,20,0.6667,0.6667,0.6667,0.5,62,62,41,0.6613,0.6613,0.6613,0.494
76,18,14,9,0.6429,0.5,0.5625,0.3913,15,15,3,0.2,0.2,0.2,0.1111,33,29,12,0.4138,0.3636,0.3871,0.24
78,24,18,16,0.8889,0.6667,0.7619,0.6154,22,22,7,0.3182,0.3182,0.3182,0.1892,46,40,23,0.575,0.5,0.5349,0.3651
80,23,16,15,0.9375,0.6522,0.7692,0.625,21,21,7,0.3333,0.3333,0.3333,0.2,44,37,22,0.5946,0.5,0.5432,0.3729
81,23,23,15,0.6522,0.6522,0.6522,0.4839,22,22,14,0.6364,0.6364,0.6364,0.4667,45,45,29,0.6444,0.6444,0.6444,0.4754
86,17,17,11,0.6471,0.6471,0.6471,0.4783,16,16,10,0.625,0.625,0.625,0.4545,33,33,21,0.6364,0.6364,0.6364,0.4667
87,33,23,1,0.0435,0.0303,0.0357,0.0182,27,29,0,0.0,0.0,0,0.0,60,52,1,0.0192,0.0167,0.0179,0.009
90,26,26,17,0.6538,0.6538,0.6538,0.4857,25,25,16,0.64,0.64,0.64,0.4706,51,51,33,0.6471,0.6471,0.6471,0.4783
93,14,14,9,0.6429,0.6429,0.6429,0.4737,13,13,8,0.6154,0.6154,0.6154,0.4444,27,27,17,0.6296,0.6296,0.6296,0.4595
94,22,22,13,0.5909,0.5909,0.5909,0.4194,18,18,9,0.5,0.5,0.5,0.3333,40,40,22,0.55,0.55,0.55,0.3793
99,33,29,1,0.0345,0.0303,0.0323,0.0164,25,30,0,0.0,0.0,0,0.0,58,59,1,0.0169,0.0172,0.0171,0.0086
100,11,11,6,0.5455,0.5455,0.5455,0.375,7,11,4,0.3636,0.5714,0.4444,0.2857,18,22,10,0.4545,0.5556,0.5,0.3333
107,17,17,11,0.6471,0.6471,0.6471,0.4783,15,15,10,0.6667,0.6667,0.6667,0.5,32,32,21,0.6562,0.6562,0.6562,0.4884
109,20,14,13,0.9286,0.65,0.7647,0.619,18,18,6,0.3333,0.3333,0.3333,0.2,38,32,19,0.5938,0.5,0.5429,0.3725
111,20,20,13,0.65,0.65,0.65,0.4815,19,19,12,0.6316,0.6316,0.6316,0.4615,39,39,25,0.641,0.641,0.641,0.4717
113,24,24,12,0.5,0.5,0.5,0.3333,21,21,9,0.4286,0.4286,0.4286,0.2727,45,45,21,0.4667,0.4667,0.4667,0.3043
114,20,23,13,0.5652,0.65,0.6047,0.4333,19,22,12,0.5455,0.6316,0.5854,0.4138,39,45,25,0.5556,0.641,0.5952,0.4237
116,28,28,14,0.5,0.5,0.5,0.3333,26,26,15,0.5769,0.5769,0.5769,0.4054,54,54,29,0.537,0.537,0.537,0.3671
118,17,17,9,0.5294,0.5294,0.5294,0.36,16,16,10,0.625,0.625,0.625,0.4545,33,33,19,0.5758,0.5758,0.5758,0.4043
119,18,18,10,0.5556,0.5556,0.5556,0.3846,16,16,9,0.5625,0.5625,0.5625,0.3913,34,34,19,0.5588,0.5588,0.5588,0.3878
120,17,17,11,0.6471,0.6471,0.6471,0.4783,16,16,10,0.625,0.625,0.625,0.4545,33,33,21,0.6364,0.6364,0.6364,0.4667
121,21,21,12,0.5714,0.5714,0.5714,0.4,19,19,11,0.5789,0.5789,0.5789,0.4074,40,40,23,0.575,0.575,0.575,0.4035
125,21,21,14,0.6667,0.6667,0.6667,0.5,19,19,12,0.6316,0.6316,0.6316,0.4615,40,40,26,0.65,0.65,0.65,0.4815
134,24,26,14,0.5385,0.5833,0.56,0.3889,20,26,12,0.4615,0.6,0.5217,0.3529,44,52,26,0.5,0.5909,0.5417,0.3714
147,23,23,13,0.5652,0.5652,0.5652,0.3939,22,22,12,0.5455,0.5455,0.5455,0.375,45,45,25,0.5556,0.5556,0.5556,0.3846
148,15,14,9,0.6429,0.6,0.6207,0.45,12,12,8,0.6667,0.6667,0.6667,0.5,27,26,17,0.6538,0.6296,0.6415,0.4722
153,17,11,10,0.9091,0.5882,0.7143,0.5556,19,19,6,0.3158,0.3158,0.3158,0.1875,36,30,16,0.5333,0.4444,0.4848,0.32
163,17,17,9,0.5294,0.5294,0.5294,0.36,16,16,10,0.625,0.625,0.625,0.4545,33,33,19,0.5758,0.5758,0.5758,0.4043
166,17,17,9,0.5294,0.5294,0.5294,0.36,16,16,9,0.5625,0.5625,0.5625,0.3913,33,33,18,0.5455,0.5455,0.5455,0.375
170,23,16,12,0.75,0.5217,0.6154,0.4444,22,22,6,0.2727,0.2727,0.2727,0.1579,45,38,18,0.4737,0.4,0.4337,0.2769
171,22,16,13,0.8125,0.5909,0.6842,0.52,20,20,6,0.3,0.3,0.3,0.1765,42,36,19,0.5278,0.4524,0.4872,0.322
174,17,20,9,0.45,0.5294,0.4865,0.3214,16,16,8,0.5,0.5,0.5,0.3333,33,36,17,0.4722,0.5152,0.4928,0.3269
192,29,29,17,0.5862,0.5862,0.5862,0.4146,23,23,12,0.5217,0.5217,0.5217,0.3529,52,52,29,0.5577,0.5577,0.5577,0.3867
193,29,30,1,0.0333,0.0345,0.0339,0.0172,26,30,0,0.0,0.0,0,0.0,55,60,1,0.0167,0.0182,0.0174,0.0088
198,11,9,4,0.4444,0.3636,0.4,0.25,7,7,1,0.1429,0.1429,0.1429,0.0769,18,16,5,0.3125,0.2778,0.2941,0.1724
203,38,26,1,0.0385,0.0263,0.0312,0.0159,30,32,0,0.0,0.0,0,0.0,68,58,1,0.0172,0.0147,0.0159,0.008
204,23,23,15,0.6522,0.6522,0.6522,0.4839,23,23,14,0.6087,0.6087,0.6087,0.4375,46,46,29,0.6304,0.6304,0.6304,0.4603
212,20,20,13,0.65,0.65,0.65,0.4815,19,19,12,0.6316,0.6316,0.6316,0.4615,39,39,25,0.641,0.641,0.641,0.4717
215,20,20,13,0.65,0.65,0.65,0.4815,17,17,10,0.5882,0.5882,0.5882,0.4167,37,37,23,0.6216,0.6216,0.6216,0.451
222,17,12,10,0.8333,0.5882,0.6897,0.5263,16,16,5,0.3125,0.3125,0.3125,0.1852,33,28,15,0.5357,0.4545,0.4918,0.3261
224,27,19,17,0.8947,0.6296,0.7391,0.5862,25,25,8,0.32,0.32,0.32,0.1905,52,44,25,0.5682,0.4808,0.5208,0.3521
229,17,17,11,0.6471,0.6471,0.6471,0.4783,16,16,10,0.625,0.625,0.625,0.4545,33,33,21,0.6364,0.6364,0.6364,0.4667
233,22,14,11,0.7857,0.5,0.6111,0.44,20,20,6,0.3,0.3,0.3,0.1765,42,34,17,0.5,0.4048,0.4474,0.2881
