914,65.39358200900006,"(565, 1046)",0.3660331085223789,1194
37,58.618443122999906,"(228, 225)",0.4577397910731244,1446
113,79.08019415100011,"(817, 1022)",0.46638655462184875,1776
813,36.71932679899987,"(217, 437)",0.31124388919065726,573
332,39.340039584999886,"(143, 225)",0.33060109289617484,605
171,46.23008467599993,"(575, 523)",0.562753036437247,1390
76,58.75146589499991,"(667, 603)",0.39612733836560554,1207
49,39.10963069600007,"(193, 358)",0.32916666666666666,632
45,45.20179543899985,"(396, 434)",0.387719298245614,884
701,30.842164670000102,"(270, 392)",0.4548022598870056,644
728,43.627572912000005,"(513, 655)",0.3722118959107807,801
259,71.18748065599993,"(649, 1280)",0.3834296724470135,1393
937,74.57962121500009,"(596, 1054)",0.4415481832543444,1677
39,30.294753751999906,"(300, 225)",0.5597897503285151,852
634,69.77432453799997,"(471, 644)",0.47719104230024884,1726
418,57.092784789000234,"(1066, 426)",0.3881578947368421,1121
345,44.953267505999975,"(146, 225)",0.4637151985394797,1016
652,71.70173856099973,"(942, 472)",0.46599954514441666,2049
930,48.47356502899993,"(644, 509)",0.43491781430475346,979
563,51.07300123999994,"(291, 800)",0.3166245943021998,878
914,63.84828939899944,"(565, 1046)",0.3660331085223789,1194
37,56.33977891699942,"(228, 225)",0.4577397910731244,1446
113,76.42951807200006,"(817, 1022)",0.389762729938683,1462
813,35.423921763999715,"(217, 437)",0.31124388919065726,573
332,38.12970025699997,"(143, 225)",0.33060109289617484,605
171,48.14890256400031,"(575, 523)",0.527602523659306,1338
76,46.68813869799942,"(667, 603)",0.5064718162839248,1213
49,37.986324642,"(193, 358)",0.32916666666666666,632
45,42.94472417599991,"(396, 434)",0.387719298245614,884
701,29.29832244499994,"(270, 392)",0.4548022598870056,644
728,42.30400206499962,"(513, 655)",0.3722118959107807,801
259,70.07077814500008,"(649, 1280)",0.3834296724470135,1393
937,72.94502375499997,"(596, 1054)",0.4415481832543444,1677
39,29.21562742900005,"(300, 225)",0.5597897503285151,852
634,67.80534118000014,"(471, 644)",0.47195357833655704,1708
418,52.47413403399969,"(1066, 426)",0.42130660727542685,1135
345,43.6639300249999,"(146, 225)",0.4637151985394797,1016
652,69.94772156199997,"(942, 472)",0.46599954514441666,2049
930,47.404705432999435,"(644, 509)",0.43491781430475346,979
563,49.4150646019998,"(291, 800)",0.3166245943021998,878
