image_name, inference_time, size, norm_score, score,remarks
914,57.63033635800002,"(565, 1046)",0.01818181818181818,44, No change between it1 and 2
37,47.98172805399963,"(228, 225)",0.26636009904492397,753, No change between it1 and 2
113,70.64627919399982,"(817, 1022)",0.22325581395348837,672, No changes
813,30.446157935999963,"(217, 437)",0.020316027088036117,27, No changes
332,32.35364741800004,"(143, 225)",0.0,0, No changes
171,55.62607850899985,"(575, 523)",0.08097165991902834,200, No changes
76,45.229789322000215,"(667, 603)",0.13289962825278812,286, No changes
49,33.43345641699989,"(193, 358)",0.0,0, No changes
45,42.620635999000115,"(396, 434)",0.029157667386609073,54, No changes
701,33.25721628500014,"(270, 392)",0.17424242424242425,253, No changes
728,40.551262785999825,"(513, 655)",0.01549053356282272,27, No changes
259,66.87103426400017,"(649, 1280)",0.016070124178232285,44, No changes
937,80.79760999600012,"(596, 1054)",0.26079593564775616,924, No changes, Error
39,24.492953084999954,"(300, 225)",0.31011826544021026,472, No change between it1 and 2
634,68.12446353699988,"(471, 644)",0.12295839753466872,399, No changes
418,52.19567146600002,"(1066, 426)",0.07308377896613191,164, No changes
345,47.09244964399977,"(146, 225)",0.029440628066732092,60, No changes
652,77.60075495699994,"(942, 472)",0.23106663634296112,1016, Error
930,50.785477956999785,"(644, 509)",0.1287032540067994,265, No changes
563,44.05080834399996,"(291, 800)",0.010730710270822688,21, No changes
