image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
65,14,14,14,1.0,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,1.0,26,26,26,1.0,1.0,1.0,1.0
66,21,21,20,0.9524,0.9524,0.9524,0.9091,19,19,19,1.0,1.0,1.0,1.0,40,40,39,0.975,0.975,0.975,0.9512
67,28,27,26,0.963,0.9286,0.9455,0.8966,26,26,25,0.9615,0.9615,0.9615,0.9259,54,53,51,0.9623,0.9444,0.9533,0.9107
68,26,26,22,0.8462,0.8462,0.8462,0.7333,24,24,24,1.0,1.0,1.0,1.0,50,50,46,0.92,0.92,0.92,0.8519
71,35,32,1,0.0312,0.0286,0.0299,0.0152,27,30,0,0.0,0.0,0,0.0,62,62,1,0.0161,0.0161,0.0161,0.0081
75,32,32,32,1.0,1.0,1.0,1.0,30,30,30,1.0,1.0,1.0,1.0,62,62,62,1.0,1.0,1.0,1.0
76,18,18,14,0.7778,0.7778,0.7778,0.6364,15,15,11,0.7333,0.7333,0.7333,0.5789,33,33,25,0.7576,0.7576,0.7576,0.6098
78,24,24,22,0.9167,0.9167,0.9167,0.8462,22,22,22,1.0,1.0,1.0,1.0,46,46,44,0.9565,0.9565,0.9565,0.9167
80,23,23,22,0.9565,0.9565,0.9565,0.9167,21,21,21,1.0,1.0,1.0,1.0,44,44,43,0.9773,0.9773,0.9773,0.9556
81,23,23,23,1.0,1.0,1.0,1.0,22,22,22,1.0,1.0,1.0,1.0,45,45,45,1.0,1.0,1.0,1.0
86,17,17,17,1.0,1.0,1.0,1.0,16,16,16,1.0,1.0,1.0,1.0,33,33,33,1.0,1.0,1.0,1.0
87,33,31,1,0.0323,0.0303,0.0312,0.0159,27,29,0,0.0,0.0,0,0.0,60,60,1,0.0167,0.0167,0.0167,0.0084
90,26,26,21,0.8077,0.8077,0.8077,0.6774,25,25,19,0.76,0.76,0.76,0.6129,51,51,40,0.7843,0.7843,0.7843,0.6452
93,14,14,14,1.0,1.0,1.0,1.0,13,13,13,1.0,1.0,1.0,1.0,27,27,27,1.0,1.0,1.0,1.0
94,22,22,20,0.9091,0.9091,0.9091,0.8333,18,18,17,0.9444,0.9444,0.9444,0.8947,40,40,37,0.925,0.925,0.925,0.8605
99,33,29,1,0.0345,0.0303,0.0323,0.0164,25,30,0,0.0,0.0,0,0.0,58,59,1,0.0169,0.0172,0.0171,0.0086
100,11,13,8,0.6154,0.7273,0.6667,0.5,7,11,7,0.6364,1.0,0.7778,0.6364,18,24,15,0.625,0.8333,0.7143,0.5556
107,17,17,17,1.0,1.0,1.0,1.0,15,15,15,1.0,1.0,1.0,1.0,32,32,32,1.0,1.0,1.0,1.0
109,20,20,20,1.0,1.0,1.0,1.0,18,18,18,1.0,1.0,1.0,1.0,38,38,38,1.0,1.0,1.0,1.0
111,20,20,16,0.8,0.8,0.8,0.6667,19,19,16,0.8421,0.8421,0.8421,0.7273,39,39,32,0.8205,0.8205,0.8205,0.6957
113,24,24,17,0.7083,0.7083,0.7083,0.5484,21,21,13,0.619,0.619,0.619,0.4483,45,45,30,0.6667,0.6667,0.6667,0.5
114,20,23,18,0.7826,0.9,0.8372,0.72,19,22,19,0.8636,1.0,0.9268,0.8636,39,45,37,0.8222,0.9487,0.881,0.7872
116,28,29,19,0.6552,0.6786,0.6667,0.5,26,27,23,0.8519,0.8846,0.8679,0.7667,54,56,42,0.75,0.7778,0.7636,0.6176
118,17,17,12,0.7059,0.7059,0.7059,0.5455,16,16,16,1.0,1.0,1.0,1.0,33,33,28,0.8485,0.8485,0.8485,0.7368
119,18,18,14,0.7778,0.7778,0.7778,0.6364,16,16,15,0.9375,0.9375,0.9375,0.8824,34,34,29,0.8529,0.8529,0.8529,0.7436
120,17,17,16,0.9412,0.9412,0.9412,0.8889,16,16,16,1.0,1.0,1.0,1.0,33,33,32,0.9697,0.9697,0.9697,0.9412
121,21,21,18,0.8571,0.8571,0.8571,0.75,19,19,18,0.9474,0.9474,0.9474,0.9,40,40,36,0.9,0.9,0.9,0.8182
125,21,21,20,0.9524,0.9524,0.9524,0.9091,19,19,19,1.0,1.0,1.0,1.0,40,40,39,0.975,0.975,0.975,0.9512
134,24,26,23,0.8846,0.9583,0.92,0.8519,20,26,20,0.7692,1.0,0.8696,0.7692,44,52,43,0.8269,0.9773,0.8958,0.8113
147,23,23,19,0.8261,0.8261,0.8261,0.7037,22,22,16,0.7273,0.7273,0.7273,0.5714,45,45,35,0.7778,0.7778,0.7778,0.6364
148,15,14,13,0.9286,0.8667,0.8966,0.8125,12,12,12,1.0,1.0,1.0,1.0,27,26,25,0.9615,0.9259,0.9434,0.8929
153,17,17,15,0.8824,0.8824,0.8824,0.7895,19,19,19,1.0,1.0,1.0,1.0,36,36,34,0.9444,0.9444,0.9444,0.8947
163,17,18,13,0.7222,0.7647,0.7429,0.5909,16,17,13,0.7647,0.8125,0.7879,0.65,33,35,26,0.7429,0.7879,0.7647,0.619
166,17,17,12,0.7059,0.7059,0.7059,0.5455,16,16,15,0.9375,0.9375,0.9375,0.8824,33,33,27,0.8182,0.8182,0.8182,0.6923
170,23,23,17,0.7391,0.7391,0.7391,0.5862,22,22,19,0.8636,0.8636,0.8636,0.76,45,45,36,0.8,0.8,0.8,0.6667
171,22,22,22,1.0,1.0,1.0,1.0,20,20,20,1.0,1.0,1.0,1.0,42,42,42,1.0,1.0,1.0,1.0
174,17,20,11,0.55,0.6471,0.5946,0.4231,16,16,10,0.625,0.625,0.625,0.4545,33,36,21,0.5833,0.6364,0.6087,0.4375
192,29,29,27,0.931,0.931,0.931,0.871,23,23,23,1.0,1.0,1.0,1.0,52,52,50,0.9615,0.9615,0.9615,0.9259
193,29,29,1,0.0345,0.0345,0.0345,0.0175,26,30,0,0.0,0.0,0,0.0,55,59,1,0.0169,0.0182,0.0175,0.0088
198,11,11,11,1.0,1.0,1.0,1.0,7,7,7,1.0,1.0,1.0,1.0,18,18,18,1.0,1.0,1.0,1.0
203,38,36,1,0.0278,0.0263,0.027,0.0137,30,32,0,0.0,0.0,0,0.0,68,68,1,0.0147,0.0147,0.0147,0.0074
204,23,23,20,0.8696,0.8696,0.8696,0.7692,23,23,23,1.0,1.0,1.0,1.0,46,46,43,0.9348,0.9348,0.9348,0.8776
212,20,20,20,1.0,1.0,1.0,1.0,19,19,19,1.0,1.0,1.0,1.0,39,39,39,1.0,1.0,1.0,1.0
215,20,20,19,0.95,0.95,0.95,0.9048,17,17,17,1.0,1.0,1.0,1.0,37,37,36,0.973,0.973,0.973,0.9474
222,17,17,15,0.8824,0.8824,0.8824,0.7895,16,16,16,1.0,1.0,1.0,1.0,33,33,31,0.9394,0.9394,0.9394,0.8857
224,27,27,26,0.963,0.963,0.963,0.9286,25,25,25,1.0,1.0,1.0,1.0,52,52,51,0.9808,0.9808,0.9808,0.9623
229,17,17,15,0.8824,0.8824,0.8824,0.7895,16,16,16,1.0,1.0,1.0,1.0,33,33,31,0.9394,0.9394,0.9394,0.8857
233,22,20,12,0.6,0.5455,0.5714,0.4,20,20,12,0.6,0.6,0.6,0.4286,42,40,24,0.6,0.5714,0.5854,0.4138
238,38,36,1,0.0278,0.0263,0.027,0.0137,33,35,0,0.0,0.0,0,0.0,71,71,1,0.0141,0.0141,0.0141,0.0071
239,14,14,14,1.0,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,1.0,26,26,26,1.0,1.0,1.0,1.0
244,30,29,1,0.0345,0.0333,0.0339,0.0172,11,29,0,0.0,0.0,0,0.0,41,58,1,0.0172,0.0244,0.0202,0.0102
250,30,29,1,0.0345,0.0333,0.0339,0.0172,27,28,0,0.0,0.0,0,0.0,57,57,1,0.0175,0.0175,0.0175,0.0088
252,27,27,27,1.0,1.0,1.0,1.0,25,25,25,1.0,1.0,1.0,1.0,52,52,52,1.0,1.0,1.0,1.0
254,26,26,26,1.0,1.0,1.0,1.0,24,24,24,1.0,1.0,1.0,1.0,50,50,50,1.0,1.0,1.0,1.0
258,14,14,8,0.5714,0.5714,0.5714,0.4,13,13,8,0.6154,0.6154,0.6154,0.4444,27,27,16,0.5926,0.5926,0.5926,0.4211
259,24,24,23,0.9583,0.9583,0.9583,0.92,22,22,22,1.0,1.0,1.0,1.0,46,46,45,0.9783,0.9783,0.9783,0.9574
262,23,23,19,0.8261,0.8261,0.8261,0.7037,22,22,22,1.0,1.0,1.0,1.0,45,45,41,0.9111,0.9111,0.9111,0.8367
263,17,17,17,1.0,1.0,1.0,1.0,13,16,13,0.8125,1.0,0.8966,0.8125,30,33,30,0.9091,1.0,0.9524,0.9091
268,16,16,16,1.0,1.0,1.0,1.0,14,14,14,1.0,1.0,1.0,1.0,30,30,30,1.0,1.0,1.0,1.0
273,20,21,19,0.9048,0.95,0.9268,0.8636,17,20,17,0.85,1.0,0.9189,0.85,37,41,36,0.878,0.973,0.9231,0.8571
274,17,17,17,1.0,1.0,1.0,1.0,13,16,13,0.8125,1.0,0.8966,0.8125,30,33,30,0.9091,1.0,0.9524,0.9091
275,26,26,23,0.8846,0.8846,0.8846,0.7931,22,23,22,0.9565,1.0,0.9778,0.9565,48,49,45,0.9184,0.9375,0.9278,0.8654
276,17,17,17,1.0,1.0,1.0,1.0,15,15,15,1.0,1.0,1.0,1.0,32,32,32,1.0,1.0,1.0,1.0
278,23,23,23,1.0,1.0,1.0,1.0,21,21,21,1.0,1.0,1.0,1.0,44,44,44,1.0,1.0,1.0,1.0
279,26,26,17,0.6538,0.6538,0.6538,0.4857,26,26,20,0.7692,0.7692,0.7692,0.625,52,52,37,0.7115,0.7115,0.7115,0.5522
284,24,25,22,0.88,0.9167,0.898,0.8148,22,22,22,1.0,1.0,1.0,1.0,46,47,44,0.9362,0.9565,0.9462,0.898
286,18,18,18,1.0,1.0,1.0,1.0,11,11,11,1.0,1.0,1.0,1.0,29,29,29,1.0,1.0,1.0,1.0
288,26,27,20,0.7407,0.7692,0.7547,0.6061,28,26,21,0.8077,0.75,0.7778,0.6364,54,53,41,0.7736,0.7593,0.7664,0.6212
291,23,23,17,0.7391,0.7391,0.7391,0.5862,22,22,17,0.7727,0.7727,0.7727,0.6296,45,45,34,0.7556,0.7556,0.7556,0.6071
293,20,20,16,0.8,0.8,0.8,0.6667,19,19,17,0.8947,0.8947,0.8947,0.8095,39,39,33,0.8462,0.8462,0.8462,0.7333
295,20,20,14,0.7,0.7,0.7,0.5385,14,14,12,0.8571,0.8571,0.8571,0.75,34,34,26,0.7647,0.7647,0.7647,0.619
309,23,23,23,1.0,1.0,1.0,1.0,21,21,21,1.0,1.0,1.0,1.0,44,44,44,1.0,1.0,1.0,1.0
310,20,20,19,0.95,0.95,0.95,0.9048,18,18,18,1.0,1.0,1.0,1.0,38,38,37,0.9737,0.9737,0.9737,0.9487
315,14,14,14,1.0,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,1.0,26,26,26,1.0,1.0,1.0,1.0
319,14,14,14,1.0,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,1.0,26,26,26,1.0,1.0,1.0,1.0
322,18,18,18,1.0,1.0,1.0,1.0,16,16,16,1.0,1.0,1.0,1.0,34,34,34,1.0,1.0,1.0,1.0
328,22,20,20,1.0,0.9091,0.9524,0.9091,20,20,19,0.95,0.95,0.95,0.9048,42,40,39,0.975,0.9286,0.9512,0.907
331,14,14,14,1.0,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,1.0,26,26,26,1.0,1.0,1.0,1.0
332,14,14,14,1.0,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,1.0,26,26,26,1.0,1.0,1.0,1.0
334,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
335,18,18,16,0.8889,0.8889,0.8889,0.8,16,16,16,1.0,1.0,1.0,1.0,34,34,32,0.9412,0.9412,0.9412,0.8889
341,17,17,16,0.9412,0.9412,0.9412,0.8889,16,16,16,1.0,1.0,1.0,1.0,33,33,32,0.9697,0.9697,0.9697,0.9412
345,18,17,17,1.0,0.9444,0.9714,0.9444,17,16,16,1.0,0.9412,0.9697,0.9412,35,33,33,1.0,0.9429,0.9706,0.9429
347,14,14,14,1.0,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,1.0,26,26,26,1.0,1.0,1.0,1.0
351,14,14,13,0.9286,0.9286,0.9286,0.8667,12,12,12,1.0,1.0,1.0,1.0,26,26,25,0.9615,0.9615,0.9615,0.9259
356,20,20,18,0.9,0.9,0.9,0.8182,18,18,18,1.0,1.0,1.0,1.0,38,38,36,0.9474,0.9474,0.9474,0.9
358,14,14,13,0.9286,0.9286,0.9286,0.8667,12,12,12,1.0,1.0,1.0,1.0,26,26,25,0.9615,0.9615,0.9615,0.9259
361,14,14,13,0.9286,0.9286,0.9286,0.8667,12,12,12,1.0,1.0,1.0,1.0,26,26,25,0.9615,0.9615,0.9615,0.9259
380,17,17,16,0.9412,0.9412,0.9412,0.8889,15,15,15,1.0,1.0,1.0,1.0,32,32,31,0.9688,0.9688,0.9688,0.9394
394,20,20,17,0.85,0.85,0.85,0.7391,16,16,15,0.9375,0.9375,0.9375,0.8824,36,36,32,0.8889,0.8889,0.8889,0.8
401,20,20,14,0.7,0.7,0.7,0.5385,14,14,11,0.7857,0.7857,0.7857,0.6471,34,34,25,0.7353,0.7353,0.7353,0.5814
411,17,17,16,0.9412,0.9412,0.9412,0.8889,16,16,16,1.0,1.0,1.0,1.0,33,33,32,0.9697,0.9697,0.9697,0.9412
412,17,17,17,1.0,1.0,1.0,1.0,16,16,16,1.0,1.0,1.0,1.0,33,33,33,1.0,1.0,1.0,1.0
