metric,best_mode,best_mean
f1,Few-shot,0.8372406392694065
jaccard,Few-shot,0.7719881278538814
label_triples,Few-shot,39.09132420091324
output_triples,Few-shot,39.67579908675799
overlap_triples,Few-shot,31.689497716894977
precision,Few-shot,0.8343232876712329
recall,Few-shot,0.8408625570776256
